Fund Name,All-time Return (%),Index All-time Return (%),All-time Annualized Return (%),Index All-time Annualized Return (%),Excess Return (%),Duration (Days),3M Fund Return (%),6M Fund Return (%),1Y Fund Return (%),2Y Fund Return (%),3Y Fund Return (%),4Y Fund Return (%),5Y Fund Return (%)
Invesco India Smallcap Fund - Direct Plan - Growth,249.16256157635468,115.94438386041436,27.344887704665744,16.047843777254165,11.297043927411579,1888.0,20.626276378488765,26.481084939329048,53.75271149674619,57.09219858156028,151.70454545454547,195.08742714404664,256.89828801611276
Axis Small Cap Fund - Direct Plan - Growth,928.3248730964468,308.3328178162697,26.228553423737445,15.098050219324776,11.130503204412669,3652.0,15.879190024024723,20.52594002855783,42.42125984251969,47.459601106420166,137.60262725779967,171.40943193997856,266.3291139240507
quant Flexi Cap Fund - Growth Option-Direct Plan,913.6674724355639,308.3328178162697,26.047565969367213,15.098050219324776,10.949515750042437,3652.0,31.08654246928039,30.335796672852343,50.82276204625921,61.39472795302188,161.5225108350416,277.8864397692749,284.4543991582335
DSP Small Cap Fund - Direct Plan - Growth,907.4069898534386,308.3328178162697,25.969543625254698,15.098050219324776,10.871493405929922,3652.0,17.065150463114588,17.991073786510327,48.33622457025706,48.5927613472907,140.25219799424625,196.92629760085066,234.64534491798366
HDFC Dividend Yield Fund - Growth Option Direct Plan,127.56499305417744,75.20261183465458,30.54432130224638,19.934799488385924,10.609521813860457,1126.0,21.827357237715812,23.314334874717723,45.88130526047962,57.773802971931765,129.59255180698767,,
Mirae Asset Midcap Fund- Direct Growth Option,223.3259823576584,120.57354177921593,29.742227590297432,19.187079337619917,10.555148252677515,1645.0,19.889235801367835,21.643535978277285,44.784091929257585,47.67420565882247,116.65099408919939,176.98583082868186,
Mirae Asset Healthcare Fund Direct Growth,223.43042708128314,98.1795436349079,23.757676995265765,13.225309837296596,10.53236715796917,2010.0,21.549556213017745,20.82567458275125,46.6752945376651,38.6734736930931,75.76875768757685,179.86205722070844,214.87832918183557
,,,,,,,,,,,,,
quant ESG Equity Fund - Growth Option - Direct Plan,210.8753916424446,74.41853398504989,41.7741258313159,18.672984332359,23.1011414989569,1186.0,20.815667864739982,28.431296102802428,55.41496232761995,81.52442250044083,158.0598663543568,,
ICICI Prudential Commodities Fund - Direct Plan - Growth Option,282.7450980392157,104.71537093741881,36.297931604071906,17.974683594374106,18.3232480096978,1582.0,14.08533021624781,19.64449892736744,43.423952975753124,58.95765472312704,134.05275779376498,321.598272138229,
