Fund Name,All-time Return (%),Index All-time Return (%),All-time Annualized Return (%),Index All-time Annualized Return (%),Excess Return (%),Duration (Days),3M Fund Return (%),6M Fund Return (%),1Y Fund Return (%),2Y Fund Return (%),3Y Fund Return (%),4Y Fund Return (%),5Y Fund Return (%)
Nippon India Small Cap Fund - Direct Plan Growth Plan - Bonus Option,694.9709471974829,184.74997306839646,29.55878753844732,13.96436592794359,15.59442161050373,2922.0,7.276858933460853,12.272181065436504,74.08758110132965,113.09371046653457,134.51047904191617,92.69341238552704,190.56179150063525
Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,694.9709471974829,184.74997306839646,29.55878753844732,13.96436592794359,15.59442161050373,2922.0,7.276858933460853,12.272181065436504,74.08758110132965,113.09371046653457,134.51047904191617,92.69341238552704,190.56179150063525
Mirae Asset Healthcare Fund Direct Growth,133.23164731352094,52.68656373002246,27.314215561841525,12.826717411812872,14.487498150028653,1280.0,-1.010733826170492,-2.9562297834008837,26.750093587892394,101.81369209809266,127.06457175704158,,
DSP Healthcare Fund - Direct Plan - Growth,128.28382512582655,59.629644321630636,30.646828030404794,16.354213692023322,14.292614338381473,1127.0,-2.19027484143762,-1.4821124361158389,18.75962624499435,92.71848704490544,128.19374568412744,,
Tata Small Cap Fund-Direct Plan-Growth,128.31904132592732,59.42123897303884,29.721506813113162,15.83565962159701,13.885847191516152,1158.0,2.6674649699742536,6.480747753634263,70.59260249157347,98.46944504426688,129.53698616452724,,
quant ELSS Tax Saver Fund - Growth Option - Direct Plan,612.1267497969518,184.74997306839646,27.78995567198619,13.96436592794359,13.825589744042599,2922.0,4.435597761947958,8.148293259834269,63.7657095691894,144.0565501926452,162.67151577097013,148.78408038255154,216.8636808728591
Mirae Asset Large & Midcap Fund - Direct Plan - Growth,605.727718183022,184.74997306839646,27.645949833798955,13.96436592794359,13.681583905855366,2922.0,-0.4334706613230317,8.12519022014812,39.209770114942515,71.54192821503298,103.97504353983655,94.88909612887889,169.17967368793248
Axis Small Cap Fund - Direct Plan - Growth,597.3604060913705,184.74997306839646,27.45591536809675,13.96436592794359,13.491549440153161,2922.0,6.166924265842341,12.44066131936486,61.13065916021579,84.05680600214362,148.42676311030743,132.7685530328702,198.7820791648543
DSP Small Cap Fund - Direct Plan - Growth,577.9650507328073,184.74997306839646,27.007625604559138,13.96436592794359,13.043259676615548,2922.0,6.694167221113336,10.536086832648634,61.68499448821015,99.82554662058881,125.20972211819337,71.4165585850092,122.39460059171599
Kotak-Small Cap Fund - Growth - Direct,568.1041054121747,184.74997306839646,26.77538720638719,13.96436592794359,12.8110212784436,2922.0,1.6850270156790446,10.410193039075724,64.36359739598684,111.49298493570963,156.4739981048994,111.76064521324942,181.1603501214427
Invesco India Smallcap Fund - Direct Plan - Growth,122.26600985221674,59.42123897303884,28.62752318078585,15.83565962159701,12.79186355918884,1158.0,1.6674177557458199,6.415094339622638,60.22727272727272,87.84346378018317,127.19033232628398,,
Tata Digital India Fund-Direct Plan-Growth,310.7530966639007,118.21149831246716,26.10879999153404,13.668774181425691,12.440025810108347,2223.0,0.5353874462899572,15.562831017092641,58.426164779190316,145.6512510836746,160.35193997883542,215.95687414448085,352.92237140904376
Kotak Emerging Equity Scheme - Growth - Direct,539.0763340512083,184.74997306839646,26.073895050244133,13.96436592794359,12.109529122300543,2922.0,1.5475285171102526,7.079279375601407,45.735489386470704,70.85919007101272,109.57076717846772,85.43523040248107,142.0574018126888
quant Flexi Cap Fund - Growth Option-Direct Plan,528.0672766031231,184.74997306839646,25.80053704656622,13.96436592794359,11.83617111862263,2922.0,1.006495636769238,5.1154898610297845,62.03906667333303,134.13803199276035,138.20753257202983,114.00654069514869,191.34540774806484
Sundaram Services Fund Direct Plan - Growth,114.89482717330569,58.63801849625555,25.741029161431705,14.817239435209517,10.923789726222187,1219.0,-1.8078276887162354,11.977766569781062,46.79231136255199,64.32593700402882,109.09655808534396,,
Axis Midcap Fund - Direct Plan - Growth,472.37735849056605,184.74997306839646,24.349911376238587,13.96436592794359,10.385545448294998,2922.0,-2.5944002054970405,7.194346289752655,40.288568257491676,67.93622674933572,107.38310090237901,114.23728813559325,184.1513675533908
Invesco India Midcap Fund - Direct Plan - Growth Option,468.4684684684684,184.74997306839646,24.24351411278838,13.96436592794359,10.27914818484479,2922.0,0.4977105315548477,7.702154896522295,41.59887798036465,70.39662447257383,98.7792872612719,87.90247533966127,150.8946322067594
,,,,,,,,,,,,,
BANK OF INDIA Small Cap Fund Direct Plan Growth,162.64940239043827,54.60366763980219,35.6844909687261,14.761636045547544,20.92285492317856,1155.0,-2.6578073089700958,4.518430439952439,42.15633423180593,119.75,162.64940239043827,,
Edelweiss Small Cap Fund - Direct Plan - Growth,140.11271504844768,55.60713819782255,33.87187767190976,15.864778411710901,18.007099260198856,1096.0,-2.2972320566462883,4.794165875550188,36.47091879741499,106.36471787899386,140.11271504844768,,
SBI Small Cap Fund - Direct Plan - Growth,707.5430511763279,175.78455357582723,29.49187931725934,13.373406440226375,16.118472877032964,2950.0,-4.1294486070113114,4.025794015227987,28.075903566707623,84.81665264928512,116.40697475168254,76.4259586944863,168.6341098462622
Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,638.82334035337,175.78455357582723,28.074744693464847,13.373406440226375,14.701338253238472,2950.0,-1.9617019748331126,3.5142562245445834,42.12570368683088,109.50495381951359,122.08146153826598,80.9546004441351,159.81303685725842
Nippon India Small Cap Fund - Direct Plan Growth Plan - Bonus Option,638.82334035337,175.78455357582723,28.074744693464847,13.373406440226375,14.701338253238472,2950.0,-1.9617019748331126,3.5142562245445834,42.12570368683088,109.50495381951359,122.08146153826598,80.9546004441351,159.81303685725842
