Index Name,Date,PE,PB,Div Yield,Close,Earnings
NIFTY NEXT 50,08/10/2010,20.41,3.42,0.96,13066.45,640.2
NIFTY NEXT 50,07/10/2010,20.5,3.43,0.96,13125.95,640.29
NIFTY NEXT 50,06/10/2010,20.75,3.47,0.92,13187.35,635.53
NIFTY NEXT 50,05/10/2010,20.51,3.43,0.94,13038.15,635.7
NIFTY NEXT 50,04/10/2010,20.45,3.42,0.94,12997,635.55
NIFTY NEXT 50,01/10/2010,20.21,3.39,0.91,12846.35,635.64
NIFTY NEXT 50,30/09/2010,19.96,3.46,0.94,12585.3,630.53
NIFTY NEXT 50,29/09/2010,20.16,3.49,0.93,12707.85,630.35
NIFTY NEXT 50,28/09/2010,20.22,3.5,0.92,12745.45,630.34
NIFTY NEXT 50,27/09/2010,20.19,3.5,0.93,12725.8,630.3
NIFTY NEXT 50,24/09/2010,20.13,3.49,0.93,12691.3,630.47
NIFTY NEXT 50,23/09/2010,19.97,3.46,0.94,12590.6,630.48
NIFTY NEXT 50,22/09/2010,20,3.47,0.93,12609.45,630.47
NIFTY NEXT 50,21/09/2010,20.06,3.48,0.93,12644.6,630.34
NIFTY NEXT 50,20/09/2010,20.14,3.49,0.93,12697.15,630.44
NIFTY NEXT 50,17/09/2010,19.96,3.46,0.94,12583.3,630.43
NIFTY NEXT 50,16/09/2010,19.67,3.41,0.95,12398.3,630.32
NIFTY NEXT 50,15/09/2010,19.89,3.45,0.94,12539.5,630.44
NIFTY NEXT 50,14/09/2010,19.8,3.43,0.94,12483.4,630.47
NIFTY NEXT 50,13/09/2010,19.84,3.44,0.94,12509.35,630.51
NIFTY NEXT 50,09/09/2010,19.03,3.3,0.98,12295.35,646.1
NIFTY NEXT 50,08/09/2010,18.93,3.28,0.98,12229.75,646.05
NIFTY NEXT 50,07/09/2010,18.93,3.28,0.98,12231.85,646.16
NIFTY NEXT 50,06/09/2010,18.94,3.28,0.98,12239.6,646.23
NIFTY NEXT 50,03/09/2010,18.69,3.24,1,12078.6,646.26
NIFTY NEXT 50,02/09/2010,18.63,3.23,1,12038.8,646.21
NIFTY NEXT 50,01/09/2010,18.55,3.22,1,11983.2,645.99
NIFTY NEXT 50,31/08/2010,18.26,3.17,1.02,11797.6,646.09
NIFTY NEXT 50,30/08/2010,18.31,3.17,1.02,11828.55,646.02
NIFTY NEXT 50,27/08/2010,18.32,3.25,0.99,11825.4,645.49
NIFTY NEXT 50,26/08/2010,18.51,3.28,0.98,11945.75,645.37
NIFTY NEXT 50,25/08/2010,18.48,3.28,0.98,11929.45,645.53
NIFTY NEXT 50,24/08/2010,18.69,3.31,0.97,12062.55,645.4
NIFTY NEXT 50,23/08/2010,18.82,3.34,0.96,12145,645.32
NIFTY NEXT 50,20/08/2010,18.75,3.32,0.96,12105.7,645.64
NIFTY NEXT 50,19/08/2010,18.76,3.33,0.96,12112.3,645.64
NIFTY NEXT 50,18/08/2010,18.59,3.3,0.97,12002.65,645.65
NIFTY NEXT 50,17/08/2010,18.44,3.27,0.98,11899.7,645.32
NIFTY NEXT 50,16/08/2010,18.37,3.28,0.99,11857.15,645.46
NIFTY NEXT 50,13/08/2010,18.44,3.29,0.99,11883.8,644.46
NIFTY NEXT 50,12/08/2010,18.24,3.25,1,11759.5,644.71
NIFTY NEXT 50,11/08/2010,18.14,3.23,1.01,11691.5,644.51
NIFTY NEXT 50,10/08/2010,18.29,3.26,1,11787.35,644.47
NIFTY NEXT 50,09/08/2010,18.34,3.27,1,11821.45,644.57
NIFTY NEXT 50,06/08/2010,18.04,3.2,1.02,11687.65,647.87
