Date,Price,Open,High,Low,Change %
05/01/2009,6.71,6.71,6.71,6.71,7.50%
06/01/2009,7.013,7.013,7.013,7.013,4.52%
07/01/2009,6.998,6.998,6.998,6.998,-0.21%
08/01/2009,7.434,7.434,7.434,7.434,6.23%
09/01/2009,7.215,7.215,7.215,7.215,-2.95%
10/01/2009,7.306,7.194,7.462,7.164,1.26%
11/01/2009,7.257,7.288,7.359,7.168,-0.67%
12/01/2009,7.679,7.26,7.739,7.26,5.82%
01/01/2010,7.591,7.706,7.806,7.538,-1.15%
02/01/2010,7.864,7.584,7.923,7.584,3.60%
03/01/2010,7.85,7.92,8.015,7.738,-0.18%
04/01/2010,8.061,7.843,8.124,7.772,2.69%
05/01/2010,7.564,8.07,8.07,7.368,-6.17%
06/01/2010,7.561,7.564,7.686,7.463,-0.04%
07/01/2010,7.803,7.521,7.803,7.521,3.20%
08/01/2010,7.936,7.857,8.067,7.784,1.70%
09/01/2010,7.852,7.942,8.009,7.833,-1.06%
10/01/2010,8.121,7.896,8.177,7.896,3.43%
11/01/2010,8.066,8.115,8.115,7.937,-0.68%
12/01/2010,7.913,8.083,8.219,7.893,-1.90%
01/01/2011,8.148,7.95,8.234,7.95,2.97%
02/01/2011,7.992,8.145,8.212,7.992,-1.91%
03/01/2011,7.985,8.016,8.018,7.931,-0.09%
04/01/2011,8.135,7.989,8.135,7.964,1.88%
05/01/2011,8.411,8.148,8.461,8.139,3.39%
06/01/2011,8.326,8.357,8.397,8.196,-1.01%
07/01/2011,8.454,8.357,8.472,8.238,1.54%
08/01/2011,8.319,8.428,8.461,8.192,-1.60%
09/01/2011,8.442,8.338,8.442,8.281,1.48%
10/01/2011,8.879,8.506,8.879,8.506,5.18%
11/01/2011,8.738,8.956,9.132,8.73,-1.59%
12/01/2011,8.56,8.74,8.74,8.276,-2.04%
01/01/2012,8.267,8.633,8.633,8.109,-3.42%
02/01/2012,8.199,8.133,8.273,8.099,-0.82%
03/01/2012,8.572,8.209,8.63,8.199,4.55%
04/01/2012,8.671,8.514,8.757,8.312,1.15%
05/01/2012,8.377,8.703,8.703,8.364,-3.39%
06/01/2012,8.38,8.359,8.459,8.245,0.04%
07/01/2012,8.245,8.434,8.434,8.018,-1.61%
08/01/2012,8.241,8.243,8.28,8.108,-0.05%
09/01/2012,8.149,8.236,8.236,8.118,-1.12%
10/01/2012,8.215,8.147,8.221,8.114,0.81%
11/01/2012,8.175,8.221,8.237,8.163,-0.49%
12/01/2012,8.049,8.169,8.187,8.035,-1.54%
01/01/2013,7.912,7.984,8.01,7.791,-1.70%
02/01/2013,7.872,7.925,7.939,7.782,-0.51%
03/01/2013,7.951,7.855,7.991,7.832,1.00%
04/01/2013,7.731,7.96,8.007,7.711,-2.77%
05/01/2013,7.443,7.713,7.801,7.315,-3.73%
