Index Name,Date,PE,PB,Div Yield,Close,Earnings
NIFTY 50,03/02/2017,23.29,3.31,1.26,8740.95,375.31
NIFTY 50,02/02/2017,23.38,3.31,1.26,8734.25,373.58
NIFTY 50,01/02/2017,23.27,3.3,1.27,8716.4,374.58
NIFTY 50,31/01/2017,22.86,3.25,1.29,8561.3,374.51
NIFTY 50,30/01/2017,22.98,3.27,1.28,8632.75,375.66
NIFTY 50,27/01/2017,23,3.28,1.28,8641.25,375.71
NIFTY 50,25/01/2017,22.98,3.26,1.28,8602.75,374.36
NIFTY 50,24/01/2017,22.64,3.21,1.3,8475.8,374.37
NIFTY 50,23/01/2017,22.48,3.18,1.32,8391.5,373.29
NIFTY 50,20/01/2017,22.37,3.17,1.32,8349.35,373.24
NIFTY 50,19/01/2017,22.44,3.2,1.31,8435.1,375.9
NIFTY 50,18/01/2017,22.39,3.19,1.31,8417,375.93
NIFTY 50,17/01/2017,22.4,3.18,1.32,8398,374.91
NIFTY 50,16/01/2017,22.5,3.19,1.31,8412.8,373.9
NIFTY 50,13/01/2017,22.47,3.18,1.31,8400.35,373.85
NIFTY 50,12/01/2017,22.5,3.19,1.31,8407.2,373.65
NIFTY 50,11/01/2017,22.42,3.18,1.32,8380.65,373.8
NIFTY 50,10/01/2017,22.39,3.14,1.33,8288.6,370.19
NIFTY 50,09/01/2017,22.07,3.12,1.34,8236.05,373.18
NIFTY 50,06/01/2017,22.09,3.13,1.34,8243.8,373.19
NIFTY 50,05/01/2017,22.17,3.14,1.33,8273.8,373.2
NIFTY 50,04/01/2017,21.94,3.11,1.35,8190.5,373.31
NIFTY 50,03/01/2017,22.12,3.11,1.35,8192.25,370.35
NIFTY 50,02/01/2017,22.08,3.1,1.35,8179.5,370.45
NIFTY 50,30/12/2016,21.93,3.1,1.35,8185.8,373.27
NIFTY 50,29/12/2016,21.89,3.07,1.36,8103.6,370.2
NIFTY 50,28/12/2016,21.71,3.05,1.37,8034.85,370.1
NIFTY 50,27/12/2016,21.7,3.05,1.37,8032.85,370.18
NIFTY 50,26/12/2016,21.36,3,1.4,7908.25,370.24
NIFTY 50,23/12/2016,21.39,3.03,1.38,7985.75,373.34
NIFTY 50,22/12/2016,21.18,3.03,1.38,7979.1,376.73
NIFTY 50,21/12/2016,21.16,3.06,1.37,8061.3,380.97
NIFTY 50,20/12/2016,21.24,3.06,1.37,8082.4,380.53
NIFTY 50,19/12/2016,21.3,3.07,1.36,8104.35,380.49
NIFTY 50,16/12/2016,21.37,3.09,1.36,8139.45,380.88
NIFTY 50,15/12/2016,21.41,3.09,1.35,8153.6,380.83
NIFTY 50,14/12/2016,21.48,3.1,1.35,8182.45,380.93
NIFTY 50,13/12/2016,21.59,3.12,1.34,8221.8,380.82
NIFTY 50,12/12/2016,21.45,3.1,1.35,8170.8,380.92
NIFTY 50,09/12/2016,21.87,3.13,1.34,8261.75,377.77
NIFTY 50,08/12/2016,21.83,3.13,1.34,8246.85,377.78
NIFTY 50,07/12/2016,21.28,3.07,1.36,8102.05,380.74
NIFTY 50,06/12/2016,21.56,3.09,1.36,8143.15,377.7
NIFTY 50,05/12/2016,21.34,3.08,1.36,8128.75,380.92
NIFTY 50,02/12/2016,21.25,3.07,1.37,8086.8,380.56
NIFTY 50,01/12/2016,21.53,3.11,1.35,8192.9,380.53
NIFTY 50,30/11/2016,21.61,3.12,1.34,8224.5,380.59
NIFTY 50,29/11/2016,21.43,3.09,1.36,8142.15,379.94
NIFTY 50,28/11/2016,21.55,3.08,1.36,8126.9,377.12
NIFTY 50,25/11/2016,21.52,3.08,1.36,8114.3,377.06
NIFTY 50,24/11/2016,21.29,3.02,1.39,7965.5,374.14
NIFTY 50,23/11/2016,21.47,3.04,1.38,8033.3,374.16
NIFTY 50,22/11/2016,21.38,3.03,1.38,8002.3,374.29
NIFTY 50,21/11/2016,21.19,3,1.4,7929.1,374.19
NIFTY 50,18/11/2016,21.41,3.06,1.37,8074.1,377.12
NIFTY 50,17/11/2016,21.49,3.06,1.37,8079.95,375.99
NIFTY 50,16/11/2016,21.62,3.07,1.36,8111.6,375.19
NIFTY 50,15/11/2016,21.37,3.07,1.36,8108.45,379.43
NIFTY 50,11/11/2016,22.02,3.14,1.33,8296.3,376.76
NIFTY 50,10/11/2016,22.7,3.23,1.3,8525.75,375.58
NIFTY 50,09/11/2016,22.48,3.19,1.31,8432,375.09
