"Date","Price","Open","High","Low","Change %"
"05/03/2002","7.541","7.541","7.541","7.541","1.32%"
"05/02/2002","7.443","7.443","7.443","7.443","0.45%"
"04/30/2002","7.410","7.410","7.410","7.410","0.98%"
"04/29/2002","7.338","7.338","7.338","7.338","0.96%"
"04/27/2002","7.268","7.268","7.268","7.268","-0.36%"
"04/26/2002","7.294","7.294","7.294","7.294","0.07%"
"04/24/2002","7.289","7.289","7.289","7.289","-0.22%"
"04/23/2002","7.305","7.305","7.305","7.305","-0.59%"
"04/22/2002","7.348","7.348","7.348","7.348","0.33%"
"04/20/2002","7.324","7.324","7.324","7.324","-0.15%"
"04/19/2002","7.335","7.335","7.335","7.335","0.45%"
"04/18/2002","7.302","7.302","7.302","7.302","0.04%"
"04/17/2002","7.299","7.299","7.299","7.299","0.27%"
"04/16/2002","7.279","7.279","7.279","7.279","-0.31%"
"04/15/2002","7.302","7.302","7.302","7.302","0.55%"
"04/13/2002","7.262","7.262","7.262","7.262","-0.06%"
"04/12/2002","7.266","7.266","7.266","7.266","0.14%"
"04/11/2002","7.256","7.256","7.256","7.256","-0.59%"
"04/10/2002","7.299","7.299","7.299","7.299","0.62%"
"04/09/2002","7.254","7.254","7.254","7.254","0.74%"
"04/08/2002","7.201","7.201","7.201","7.201","0.66%"
"04/06/2002","7.154","7.154","7.154","7.154","-0.10%"
"04/05/2002","7.161","7.161","7.161","7.161","0.25%"
"04/04/2002","7.143","7.143","7.143","7.143","-0.93%"
"04/03/2002","7.210","7.210","7.210","7.210","-0.46%"
"04/02/2002","7.243","7.243","7.243","7.243","0.03%"
"04/01/2002","7.241","7.241","7.241","7.241","-1.60%"
"03/30/2002","7.359","7.359","7.359","7.359","-0.93%"
"03/28/2002","7.428","7.428","7.428","7.428","-0.42%"
"03/27/2002","7.459","7.459","7.459","7.459","0.08%"
"03/26/2002","7.453","7.453","7.453","7.453","0.04%"
"03/23/2002","7.450","7.450","7.450","7.450","-0.16%"
"03/22/2002","7.462","7.462","7.462","7.462","0.00%"
"03/21/2002","7.462","7.462","7.462","7.462","-0.41%"
"03/20/2002","7.493","7.493","7.493","7.493","0.24%"
"03/19/2002","7.475","7.475","7.475","7.475","-0.17%"
"03/18/2002","7.488","7.488","7.488","7.488","1.13%"
"03/16/2002","7.404","7.404","7.404","7.404","0.07%"
"03/15/2002","7.399","7.399","7.399","7.399","-2.80%"
"03/14/2002","7.612","7.612","7.612","7.612","-0.08%"
"03/13/2002","7.618","7.618","7.618","7.618","0.79%"
"03/12/2002","7.558","7.558","7.558","7.558","-0.09%"
"03/11/2002","7.565","7.565","7.565","7.565","-0.18%"
"03/09/2002","7.579","7.579","7.579","7.579","-0.55%"
"03/08/2002","7.621","7.621","7.621","7.621","1.28%"
"03/07/2002","7.525","7.525","7.525","7.525","0.56%"
"03/06/2002","7.483","7.483","7.483","7.483","1.80%"
"03/05/2002","7.351","7.351","7.351","7.351","0.56%"
"03/04/2002","7.310","7.310","7.310","7.310","-1.85%"
"03/02/2002","7.448","7.448","7.448","7.448","-1.86%"
"03/01/2002","7.589","7.589","7.589","7.589","-0.50%"
"02/28/2002","7.627","7.627","7.627","7.627","4.52%"
"02/27/2002","7.297","7.297","7.297","7.297","0.76%"
"02/26/2002","7.242","7.242","7.242","7.242","-2.99%"
"02/25/2002","7.465","7.465","7.465","7.465","1.11%"
"02/22/2002","7.383","7.383","7.383","7.383","-0.73%"
"02/21/2002","7.437","7.437","7.437","7.437","1.70%"
"02/20/2002","7.313","7.313","7.313","7.313","1.06%"
"02/19/2002","7.236","7.236","7.236","7.236","0.22%"
"02/18/2002","7.220","7.220","7.220","7.220","-0.25%"
"02/16/2002","7.238","7.238","7.238","7.238","-0.43%"
"02/15/2002","7.269","7.269","7.269","7.269","0.79%"
"02/14/2002","7.212","7.212","7.212","7.212","-0.03%"
"02/13/2002","7.214","7.214","7.214","7.214","-0.77%"
"02/12/2002","7.270","7.270","7.270","7.270","-0.59%"
"02/11/2002","7.313","7.313","7.313","7.313","0.08%"
"02/09/2002","7.307","7.307","7.307","7.307","-1.10%"
"02/08/2002","7.388","7.388","7.388","7.388","-0.98%"
"02/07/2002","7.461","7.461","7.461","7.461","-1.36%"
"02/06/2002","7.564","7.564","7.564","7.564","-0.20%"
"02/05/2002","7.579","7.579","7.579","7.579","0.12%"
"02/04/2002","7.570","7.570","7.570","7.570","-0.84%"
"02/02/2002","7.634","7.634","7.634","7.634","-0.24%"
"02/01/2002","7.652","7.652","7.652","7.652","-0.22%"
"01/31/2002","7.669","7.669","7.669","7.669","-0.05%"
"01/30/2002","7.673","7.673","7.673","7.673","-0.38%"
"01/29/2002","7.702","7.702","7.702","7.702","-0.40%"
"01/28/2002","7.733","7.733","7.733","7.733","-0.46%"
"01/25/2002","7.769","7.769","7.769","7.769","-0.06%"
"01/24/2002","7.774","7.774","7.774","7.774","0.04%"
"01/23/2002","7.771","7.771","7.771","7.771","0.10%"
"01/22/2002","7.763","7.763","7.763","7.763","-0.32%"
"01/21/2002","7.788","7.788","7.788","7.788","-0.29%"
"01/19/2002","7.811","7.811","7.811","7.811","-0.46%"
"01/18/2002","7.847","7.847","7.847","7.847","-0.61%"
"01/17/2002","7.895","7.895","7.895","7.895","0.08%"
"01/16/2002","7.889","7.889","7.889","7.889","-0.25%"
"01/15/2002","7.909","7.909","7.909","7.909","0.01%"
"01/14/2002","7.908","7.908","7.908","7.908","-0.58%"
"01/12/2002","7.954","7.954","7.954","7.954","-0.03%"
"01/11/2002","7.956","7.956","7.956","7.956","0.61%"
"01/10/2002","7.908","7.908","7.908","7.908","-0.03%"
"01/09/2002","7.910","7.910","7.910","7.910","0.20%"
"01/08/2002","7.894","7.894","7.894","7.894","-0.16%"
"01/07/2002","7.907","7.907","7.907","7.907","0.00%"
