Name,Sub Category,NSE Benchmark,BSE Benchmark,Crisil Benchmark,MSCI Benchmark,Plan,AUM,expense_ratio,lockin,exit_load,sip_investment,minimum_lumpsum,minimum_sip,absolute_returns__3m,absolute_returns__6m,absolute_returns__1y,3y_avg_annual_rolling_return_,cagr_3y,cagr_5y,cagr_10y,pe_ratio,category_pe_ratio,tracking_error,volatility,category_st_dev,maximum_drawdown,percentage_equity_holding,percentage_debt_holding,percentage_largecap_holding,percentage_midcap_holding,percentage_smallcap_holding,percentage_concetration__top_5_holdings,percentage_cash_holding
Invesco India Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,17656.72,0.39,0,0.5,Allowed,1000,0,1.93,4.17,8.39,6.61,7.32,6.2,6.62,32.28,33.19,1,1.02,1.03,0.52,-0.43,3.87,-0.27,-0.18,-0.04,95.29,75.74
Aditya Birla SL Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,13351.21,0.29,0,0.25,Allowed,1000,0,1.91,4.11,8.33,6.26,6.87,5.96,6.56,34.02,33.19,0,1,1.03,0.54,72.29,0,52.74,16.83,2.72,33.84,5
HSBC Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,2441.28,0.27,0,0.25,Allowed,5000,500,1.78,3.96,8.09,6.11,6.71,5.95,6.56,34.18,33.19,1.07,1.05,1.03,0.55,75.08,11.52,40.63,20.03,14.42,27.01,1.6
ICICI Pru Equity-Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,24997.26,0.34,0,0.25,Allowed,5000,1000,1.9,4.1,8.25,6.21,6.82,5.92,6.54,32.55,33.19,0.95,1.01,1.03,0.6,68.57,7.56,50.66,14.77,3.14,25.11,4.14
Bandhan Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,7740.04,0.37,0,0.25,Allowed,100,100,1.9,4.14,8.35,6.28,6.89,5.88,6.5,37.14,33.19,1,1,1.03,0.75,70.53,5.35,45.85,20.5,4.18,27.41,6.29
UTI Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,6143.71,0.29,0,0.25,Allowed,5000,0,1.85,4.03,8.25,6.17,6.78,5.92,6.49,29.97,33.19,1,1.03,1.03,0.7,62.23,9.9,41.87,17.02,3.35,32.99,5.75
SBI Arbitrage Opportunities Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,31883.07,0.42,0,0.25,Allowed,5000,1500,1.85,4,8.14,6.45,6.94,5.82,6.4,34.78,33.19,0.91,1.02,1.03,0.65,70.92,13.55,53.91,15.01,2.01,24.54,2.43
PGIM India Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,93.05,0.35,0,0.25,Allowed,5000,1000,1.8,3.97,7.87,5.89,6.49,5.62,6.31,29.32,33.19,1.04,1.01,1.03,0.71,-0.43,11.53,-0.35,-0.08,-0.01,99.9,77.26
HDFC Arbitrage-WP,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,16605.9,0.41,0,0.25,Allowed,100,5000,1.88,4.08,8.26,6.12,6.78,5.75,6.3,31.79,33.19,0.95,1.02,1.03,0.73,71.76,3.81,54.91,13.51,3.35,34.19,6.24
HDFC Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,16605.9,0.41,0,0.25,Not allowed,0,5000,1.88,4.07,8.26,6.12,6.78,5.76,6.3,31.79,33.19,0.94,1.01,1.03,0.73,71.76,3.81,54.91,13.51,3.35,34.19,6.24
JM Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,184.36,0.37,0,0.5,Allowed,1000,100,1.8,3.92,7.92,5.77,6.52,5.12,5.86,33.8,33.19,1.04,1.09,1.03,0.54,74.68,12.41,51.2,16.28,7.21,23.84,5.77
Tata Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,11671.92,0.29,0,0.25,Allowed,5000,150,1.91,4.12,8.37,6.34,6.93,6.22,0,34.27,33.19,1.03,0.97,1.03,0.57,67.24,17.99,45.15,17.56,4.53,25.58,2.34
DSP Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,5917.04,0.35,0,0.25,Allowed,100,100,1.87,4.01,8.17,6.11,6.76,5.78,0,32.64,33.19,1.1,1.02,1.03,0.6,70.19,16.27,38.13,21.99,9.26,21.2,1.01
Mirae Asset Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,2839.16,0.19,0,0.25,Allowed,5000,99,1.83,4.1,8.37,6.23,6.86,0,0,42.97,33.19,1.02,1.05,1.03,0.2,77.82,6.27,45.53,23.44,8.85,16.7,5.85
Baroda BNP Paribas Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,1282.53,0.38,0,0.25,Allowed,5000,500,1.9,4.12,8.32,6.12,6.76,5.96,0,28.76,33.19,1.15,1,1.03,0.57,-0.16,25.16,-0.18,-0.1,-0.14,79.32,73.7
Parag Parikh Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,1093.46,0.3,0,0.25,Allowed,1000,0,1.79,3.89,7.81,0,0,0,0,26.9,33.19,0,1.05,1.03,0.16,69.16,13.55,47.12,16.35,5.7,24.72,5.14
Bajaj Finserv Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,1045.24,0.25,0,0.25,Allowed,500,1000,1.74,3.81,7.66,0,0,0,0,35.91,33.19,0.96,1.01,1.03,0.15,-0.46,1.4,-0.29,-0.15,-0.02,100.48,74.48
NJ Arbitrage Fund,Arbitrage Fund,NIFTY 50 Arbitrage,,CRISIL Arbitrage Index,,Growth,351.63,0.27,0,0,Allowed,5000,0,1.74,3.77,7.83,0,0,0,0,29.36,33.19,0.98,1.12,1.03,0.18,73.33,14.85,60.03,11.92,1.38,33.8,11.83
