Name,Sub Category,NSE Benchmark,BSE Benchmark,Crisil Benchmark,MSCI Benchmark,Plan,AUM,expense_ratio,lockin,exit_load,sip_investment,minimum_lumpsum,minimum_sip,absolute_returns__3m,absolute_returns__6m,absolute_returns__1y,3y_avg_annual_rolling_return_,cagr_3y,cagr_5y,cagr_10y,pe_ratio,category_pe_ratio,tracking_error,volatility,category_st_dev,maximum_drawdown,percentage_equity_holding,percentage_debt_holding,percentage_largecap_holding,percentage_midcap_holding,percentage_smallcap_holding,percentage_concetration__top_5_holdings,percentage_cash_holding
UTI Nifty Next 50 Index Fund,Index Fund,,,,,Growth,4691.67,0.36,0,0,Allowed,1000,500,-2.84,7.85,52.34,23.28,17.43,20.18,0,60.77,43.65,0.07,19.98,17.51,39.86,100.04,0,86.5,13.54,0,20.33,-0.04
Navi Nifty 50 Index Fund,Index Fund,,,,,Growth,2449.79,0.06,0,0,Allowed,10,10,0.33,9.15,25.32,15.44,11.21,0,0,35.83,43.65,0.04,13.66,17.51,16.59,100.25,0,98.79,1.47,0,37.79,-0.25
Motilal Oswal Nifty India Defence Index Fund,Index Fund,,,,,Growth,2126.83,0.31,0,1,Allowed,500,100,-10.85,0,0,0,0,0,0,59.38,43.65,3.62,30.94,17.51,26.73,100.39,0,41.29,35.4,23.7,70.6,-0.39
Motilal Oswal Nifty 500 Index Fund,Index Fund,,,,,Growth,2102.99,0.2,0,1,Allowed,500,6000,-0.1,9.89,31.73,19.39,14.11,19.13,0,44,43.65,0.14,14.77,17.51,37.31,99.88,0,71.31,18.2,10.37,22.68,0.12
Motilal Oswal Nifty Midcap 150 Index Fund,Index Fund,,,,,Growth,1894,0.3,0,1,Allowed,500,1500,-0.27,12.96,38.73,28.89,21.31,28.42,0,52.92,43.65,0.06,17.38,17.51,37.19,100.04,0,11.44,80.04,8.55,9.95,-0.04
DSP Nifty 50 Equal Weight Index Fund,Index Fund,,,,,Growth,1886.93,0.39,0,0,Allowed,100,100,-0.84,9.02,30.37,21.62,15.61,20.45,0,42.72,43.65,0.05,14.07,17.51,40.95,100.07,0,96.2,3.87,0,10.52,-0.07
Nippon India Nifty Smallcap 250 Index Fund,Index Fund,,,,,Growth,1873.67,0.35,0,0,Allowed,100,0,2.31,14.47,40.49,30.71,21.78,0,0,48.67,43.65,0.26,19.84,17.51,26.95,100.07,0,0,14.4,85.67,7.07,-0.07
Axis Nifty 100 Index Fund,Index Fund,,,,,Growth,1750.56,0.21,0,0,Allowed,100,100,-0.44,8.64,29.31,16.75,11.91,16.68,0,41.79,43.65,0.07,14.26,17.51,37.03,99.92,0,96.37,3.55,0,30.56,0.08
HDFC NIFTY Next 50 Index Fund,Index Fund,,,,,Growth,1712.78,0.3,0,0,Allowed,100,1500,-2.84,7.72,52.01,27.66,17.19,0,0,60.77,43.65,0.13,19.96,17.51,19.83,100.17,0,86.61,13.56,0,20.35,-0.17
ICICI Pru BSE Sensex Index Fund,Index Fund,,,,,Growth,1711.22,0.19,0,0,Allowed,100,100,0.97,9.15,23.51,14.92,10.59,15.67,0,30.3,43.65,0.06,13.57,17.51,37.26,99.94,0,99.17,0.76,0,45.95,0.06
Motilal Oswal Nifty Microcap 250 Index Fund,Index Fund,,,,,Growth,1667.32,0.44,0,1,Allowed,500,500,3.49,21.15,46.88,0,0,0,0,46.43,43.65,0.26,22.4,17.51,15.33,100.22,0,0,0,100.2,7.11,-0.23
Nippon India Nifty Midcap 150 Index Fund,Index Fund,,,,,Growth,1590.22,0.3,0,0,Allowed,100,1500,-0.38,12.76,38.32,26.87,21.05,0,0,53,43.65,0.1,17.42,17.51,21.44,100.02,0,11.48,79.96,8.58,9.98,-0.02
HDFC NIFTY50 Equal Weight Index Fund,Index Fund,,,,,Growth,1477.8,0.4,0,0,Allowed,100,0,-0.84,9.03,30.38,21.99,15.56,0,0,39.27,43.65,0.04,14.09,17.51,16.87,99.96,0,96.6,3.36,0,11.01,0.04
SBI Nifty Next 50 Index Fund,Index Fund,,,,,Growth,1394.7,0.32,0,0.5,Allowed,5000,0,-2.85,7.87,52.34,23.32,17.44,0,0,60.77,43.65,0.07,19.9,17.51,20.24,100.2,0,86.64,13.56,0,20.36,-0.2
Bandhan Nifty100 Low Volatility 30 Index Fund,Index Fund,,,,,Growth,1283.11,0.35,0,0,Allowed,1000,100,-0.53,10.53,29.68,0,0,0,0,44.11,43.65,0.11,11.15,17.51,9.95,100.64,0,94.77,5.87,0,20.01,-0.64
SBI Nifty Smallcap 250 Index Fund,Index Fund,,,,,Growth,1190.98,0.39,0,0.25,Allowed,5000,1500,2.25,14.38,40.54,0,0,0,0,48.67,43.65,0.15,19.81,17.51,13.61,100.16,0,0,14.41,85.75,7.08,-0.16
SBI Nifty50 Equal Weight Index Fund,Index Fund,,,,,Growth,1137.29,0.52,0,0.25,Allowed,5000,0,-0.86,8.98,0,0,0,0,0,39.27,43.65,0.07,14.66,17.51,9.76,100.04,0,96.68,3.36,0,11.01,-0.04
Nippon India Nifty Alpha Low Volatility 30 Index Fund,Index Fund,,,,,Growth,1101.95,0.35,0,0,Allowed,1000,0,-3.54,6.55,38.87,0,0,0,0,42.68,43.65,0.28,13.58,17.51,10.7,100.03,0,91.37,8.66,0,24.09,-0.03
Nippon India Nifty 50 Value 20 Index Fund,Index Fund,,,,,Growth,865.37,0.25,0,0,Allowed,5000,100,1.46,11.69,35.27,19.27,16.68,0,0,25.58,43.65,0.09,14.36,17.51,17.76,100.28,0,96.93,3.35,0,59.8,-0.28
Motilal Oswal Nifty 200 Momentum 30 Index Fund,Index Fund,,,,,Growth,862.39,0.32,0,1,Allowed,500,500,-2.17,6.05,47.9,0,0,0,0,46.53,43.65,0.15,21.71,17.51,23.53,100.31,0,87.09,13.22,0,28.36,-0.31
DSP Nifty Top 10 Equal Weight Index Fund,Index Fund,,,,,Growth,859.84,0.25,0,0,Allowed,100,100,0,0,0,0,0,0,0,31.29,43.65,0.22,12.18,17.51,7.6,100.07,0,100.07,0,0,50.59,-0.07
DSP NIFTY Next 50 Index Fund,Index Fund,,,,,Growth,838.01,0.28,0,0,Allowed,100,100,-2.81,7.94,52.33,23.39,17.57,20.04,0,60.81,43.65,0.13,19.94,17.51,36.02,100.25,0,86.46,13.78,0,19.82,-0.25
Motilal Oswal BSE Enhanced Value Index Fund,Index Fund,,,,,Growth,837.29,0.45,0,1,Allowed,500,6000,-4.32,1.75,52.41,0,0,0,0,15.16,43.65,0.1,26.1,17.51,12.53,100.23,0,69.02,30.45,0.76,48.8,-0.23
Motilal Oswal Nifty Smallcap 250 Index Fund,Index Fund,,,,,Growth,828.81,0.36,0,1,Allowed,500,0,2.28,14.43,40.75,30.8,21.94,30.02,0,48.67,43.65,0.13,19.83,17.51,42.44,100.15,0,0,14.41,85.74,7.08,-0.15
SBI Nifty 500 Index Fund,Index Fund,,,,,Growth,816.54,0,0,0.25,Allowed,5000,1000,0,0,0,0,0,0,0,44,43.65,0.03,16.26,17.51,7.22,100.07,0,71.45,18.24,10.39,22.73,-0.07
HDFC NIFTY200 Momentum 30 Index Fund,Index Fund,,,,,Growth,779.01,0.4,0,0,Allowed,100,0,-2.17,5.85,0,0,0,0,0,46.53,43.65,0.75,23.86,17.51,10.09,100.03,0,86.84,13.19,0,28.28,-0.03
Kotak Nifty 50 Index Fund,Index Fund,,,,,Growth,736,0.15,0,0,Allowed,100,100,0.36,9.1,25.16,14.88,11.15,0,0,33.01,43.65,0.09,13.69,17.51,16.45,99.98,0,98.75,1.24,0,38.8,0.02
Edelweiss Nifty Midcap150 Momentum 50 Index Fund,Index Fund,,,,,Growth,709.43,0.4,0,0.5,Allowed,100,100,1.7,11.86,49.1,0,0,0,0,58.46,43.65,0.54,20.82,17.51,11.05,100.16,0,19.9,80.25,0,21.04,-0.16
Navi Nifty Next 50 Index Fund,Index Fund,,,,,Growth,675.22,0.11,0,0,Allowed,10,10,-2.92,7.78,51.87,0,0,0,0,60.81,43.65,0.28,19.98,17.51,19.36,100.54,0,86.72,13.82,0,19.88,-0.54
SBI Nifty Midcap 150 Index Fund,Index Fund,,,,,Growth,670.31,0.41,0,0.25,Allowed,5000,5000,-0.33,12.78,38.34,0,0,0,0,52.92,43.65,0.05,17.37,17.51,10.4,100.15,0,11.45,80.13,8.56,9.96,-0.15
Zerodha Nifty LargeMidcap 250 Index Fund,Index Fund,,,,,Growth,652.32,0.26,0,0,Allowed,100,500,-0.3,10.92,33.96,0,0,0,0,47.02,43.65,0.04,15.39,17.51,8.14,100.22,0,53.85,42.05,4.31,15.75,-0.22
DSP NIFTY 50 Index Fund,Index Fund,,,,,Growth,642.7,0.18,0,0,Allowed,100,0,0.34,9.15,25.32,15.84,11.19,16.07,0,35.83,43.65,0.05,13.65,17.51,37.78,99.89,0,98.66,1.24,0,38.76,0.11
Tata Nifty Midcap 150 Momentum 50 Index Fund,Index Fund,,,,,Growth,632.7,0.31,0,0.25,Allowed,5000,150,1.69,11.23,47.81,0,0,0,0,56.33,43.65,0.67,20.67,17.51,12.02,100.17,0,20.23,79.94,0,22.61,-0.17
Motilal Oswal Nifty Bank Index Fund,Index Fund,,,,,Growth,607.58,0.33,0,1,Allowed,500,500,2.99,8.19,18.77,13.36,9.96,11.05,0,16.18,43.65,0.09,17.4,17.51,46.85,100.13,0,86.06,14.07,0,81.47,-0.13
Motilal Oswal Nifty 50 Index Fund,Index Fund,,,,,Growth,569.68,0.15,0,0,Allowed,500,500,0.34,9.17,25.38,15.87,11.25,0,0,33.01,43.65,0.04,13.67,17.51,37.28,100.03,0,98.79,1.24,0,38.82,-0.03
ICICI Pru Nifty Midcap 150 Index Fund,Index Fund,,,,,Growth,565.8,0.3,0,0,Allowed,100,0,-0.33,12.75,38.22,0,0,0,0,52.92,43.65,0.08,17.4,17.51,20.61,100.02,0,11.44,80.03,8.55,9.95,-0.02
UTI BSE Low Volatility Index Fund,Index Fund,,,,,Growth,560.16,0.45,0,0,Allowed,1000,500,-2.62,5.48,27.58,0,0,0,0,48.22,43.65,0.14,11.26,17.51,9.76,100.02,0,74.97,19.11,5.94,19.11,-0.02
Axis Nifty 50 Index Fund,Index Fund,,,,,Growth,558.17,0.12,0,0,Allowed,100,100,0.4,9.12,25.29,0,0,0,0,35.84,43.65,0.09,13.59,17.51,15.82,99.66,0,98.2,1.46,0,37.57,0.34
Navi Nifty Bank Index Fund,Index Fund,,,,,Growth,511.56,0.1,0,0,Allowed,10,0,3,8.21,18.9,0,0,0,0,16.52,43.65,0.07,17.46,17.51,16.06,100.32,0,85.06,15.25,0,80.42,-0.32
ICICI Pru Nifty Bank Index Fund,Index Fund,,,,,Growth,497.39,0.2,0,0,Allowed,1000,1000,2.95,8.17,18.82,0,0,0,0,16.18,43.65,0.12,17.39,17.51,15.16,99.91,0,85.87,14.04,0,81.28,0.09
Sundaram LT Tax Adv Fund-Sr I,Equity Linked Savings Scheme (ELSS),NIFTY 500,BSE 500 ,,,Growth,19.93,1.18,3,0,Not allowed,0,0,-0.09,7.31,25.31,18.08,12.37,18.25,0,32.54,46.64,3.77,14.06,14.8,38.37,96.92,0,81.69,12.12,3.11,39.23,2.79
ICICI Pru Nifty IT Index Fund,Index Fund,,,,,Growth,487.38,0.37,0,0,Allowed,1000,1000,9.82,27.64,37.87,0,0,0,0,35.13,43.65,0.07,20.12,17.51,15.39,102.64,0,86.48,16.15,0,80.93,-2.64
Navi ELSS Tax Saver Fund,Equity Linked Savings Scheme (ELSS),NIFTY 500,BSE 500 ,,,Growth,67.08,0.28,3,0,Not allowed,0,0,-0.12,11.75,26.8,17.99,12.47,16.76,0,46.13,46.64,4.63,12.68,14.8,37.77,92.92,2.98,60.15,19.84,12.92,21.17,3.75
ICICI Pru Nifty 200 Momentum 30 Index Fund,Index Fund,,,,,Growth,474.02,0.4,0,0,Allowed,5000,100,-2.21,6.05,47.34,0,0,0,0,46.52,43.65,0.41,21.58,17.51,13.3,100.1,0,86.91,13.2,0,28.3,-0.1
HDFC Nifty LargeMidcap 250 Index Fund,Index Fund,,,,,Growth,458.27,0,0,0,Allowed,100,0,0,0,0,0,0,0,0,47.03,43.65,0.02,13.72,17.51,5.72,100.18,0,53.82,42.05,4.32,15.74,-0.18
Axis Nifty Smallcap 50 Index Fund,Index Fund,,,,,Growth,441.1,0.28,0,0,Allowed,100,12000,3.75,16.9,43.53,0,0,0,0,44.23,43.65,0.39,20.98,17.51,27.74,99.74,0,0,23.49,74.15,18.41,0.26
ICICI Pru Nifty Smallcap 250 Index Fund,Index Fund,,,,,Growth,423.7,0.33,0,0,Allowed,100,100,2.25,14.32,40.48,33.72,21.88,0,0,48.67,43.65,0.15,19.88,17.51,26.89,99.95,0,0,14.38,85.57,7.07,0.05
Axis Nifty Midcap 50 Index Fund,Index Fund,,,,,Growth,415.55,0.25,0,0.25,Allowed,100,12000,-2.48,11.77,36.13,0,0,0,0,51.96,43.65,0.19,18.94,17.51,17.81,99.87,0,18.56,81.31,0,18.18,0.13
HDFC Nifty500 Multicap 50:25:25 Index Fund,Index Fund,,,,,Growth,410.95,0.3,0,0,Allowed,100,100,0,0,0,0,0,0,0,45.94,43.65,0.17,13.43,17.51,8.13,100.1,0,51.2,25.08,23.82,15.85,-0.1
SBI LT Advantage Fund-III,Equity Linked Savings Scheme (ELSS),NIFTY 500,BSE 500 ,,,Growth,78.17,0,0,0,Not allowed,0,0,-0.15,14.47,42.05,27.14,22.47,27.79,0,57.82,46.64,7.25,16.04,14.8,37.06,94.3,0,37.05,19.8,37.46,30,5.43
Zerodha ELSS Tax Saver Nifty LargeMidcap 250 Index Fund,Equity Linked Savings Scheme (ELSS),NIFTY 500,BSE 500 ,,,Growth,135.49,0.25,3,0,Allowed,500,500,-0.27,11,34.05,0,0,0,0,47.01,46.64,0.04,15.39,14.8,8.12,100.18,0,53.87,42.01,4.3,15.78,-0.18
SBI Nifty India Consumption Index Fund,Index Fund,,,,,Growth,361.82,0,0,0.25,Allowed,5000,3000,0,0,0,0,0,0,0,74.22,43.65,0.02,12.39,17.51,1.25,99.43,0,96.15,3.28,0,40.31,0.57
Kotak Nifty 200 Momentum 30 Index Fund,Index Fund,,,,,Growth,361.19,0.4,0,0,Allowed,100,28,-2.1,6.69,47.62,0,0,0,0,46.53,43.65,0.83,21.66,17.51,10.06,100.14,0,86.94,13.2,0,28.31,-0.14
HDFC NIFTY100 Low Volatility 30 Index Fund,Index Fund,,,,,Growth,355.02,0.4,0,0,Allowed,100,100,-0.54,0,0,0,0,0,0,44.11,43.65,0.08,10.89,17.51,9.96,100.46,0,94.6,5.86,0,19.97,-0.46
HDFC NIFTY Smallcap 250 Index Fund,Index Fund,,,,,Growth,348.22,0.3,0,0,Allowed,100,100,2.31,14.38,40.44,0,0,0,0,48.67,43.65,0.17,19.86,17.51,12.41,100.09,0,0,14.4,85.69,7.08,-0.09
Kotak Nifty Next 50 Index Fund,Index Fund,,,,,Growth,346.22,0.11,0,0,Allowed,100,100,-2.79,7.96,52.28,22.79,17.65,0,0,60.77,43.65,0.1,20,17.51,20.03,100.1,0,86.56,13.55,0,20.34,-0.1
HDFC NIFTY 100 Equal Weight Index Fund,Index Fund,,,,,Growth,332.16,0.4,0,0,Allowed,100,0,-2.69,7.56,38.6,0,0,0,0,51.66,43.65,0.13,16,17.51,16.12,99.95,0,88.46,11.49,0,5.67,0.05
Aditya Birla SL Nifty India Defence Index Fund,Index Fund,,,,,Growth,330.74,0.31,0,0.05,Allowed,500,0,0,0,0,0,0,0,0,59.38,43.65,1.29,27.64,17.51,14.12,99.88,0,41.1,35.22,23.56,70.26,0.12
DSP Nifty Midcap 150 Quality 50 Index Fund,Index Fund,,,,,Growth,329.38,0.3,0,0,Allowed,100,0,0.35,16.23,31.68,0,0,0,0,54.31,43.65,0.08,14.57,17.51,13.63,99.99,0,9.47,71.28,19.23,16.81,0.01
Aditya Birla SL Nifty 50 Equal Weight Index Fund,Index Fund,,,,,Growth,320.07,0.4,0,0,Allowed,100,1000,-0.85,9.01,30.32,20.46,15.45,0,0,39.27,43.65,0.05,14.09,17.51,16.82,99.92,0,96.56,3.36,0,11,0.08
Motilal Oswal Nifty Next 50 Index Fund,Index Fund,,,,,Growth,297.07,0.35,0,1,Allowed,500,500,-2.84,7.83,52.25,23.26,17.45,0,0,60.77,43.65,0.09,19.93,17.51,35.56,99.89,0,86.38,13.52,0,20.3,0.11
Bandhan Nifty Alpha 50 Index Fund,Index Fund,,,,,Growth,296.21,0.34,0,0,Allowed,1000,0,-3.01,11.04,0,0,0,0,0,72.23,43.65,0.83,23.51,17.51,12.29,99.86,0,29.46,59.5,10.9,17.79,0.14
UTI Nifty200 Quality 30 Index Fund,Index Fund,,,,,Growth,294.19,0.44,0,0,Allowed,1000,500,0,0,0,0,0,0,0,46.33,43.65,0.47,14.24,17.51,9.83,100.78,0,73.45,25.07,2.26,27.15,-0.78
Axis Nifty Next 50 Index Fund,Index Fund,,,,,Growth,293.73,0.25,0,0,Allowed,100,0,-2.76,7.82,52.06,0,0,0,0,60.81,43.65,0.24,19.77,17.51,18.96,99.59,0,85.93,13.66,0,19.7,0.41
HSBC Nifty 50 Index Fund,Index Fund,,,,,Growth,288.37,0.2,0,1,Allowed,5000,0,0.33,9.13,25.29,15.87,11.19,0,0,33.01,43.65,0.06,13.65,17.51,16.49,99.94,0,98.7,1.24,0,38.78,0.06
Aditya Birla SL Nifty Midcap 150 Index Fund,Index Fund,,,,,Growth,285.42,0.44,0,0.25,Allowed,100,0,-0.3,12.8,39.01,27.47,21.34,0,0,52.92,43.65,0.31,17.44,17.51,21.19,99.97,0,11.43,79.99,8.55,9.94,0.03
Tata Nifty India Tourism Index Fund,Index Fund,,,,,Growth,253.45,0.34,0,0.25,Allowed,5000,0,-2.08,0,0,0,0,0,0,51.18,43.65,0.09,20.36,17.51,13.75,100.05,0,40.65,35.48,23.93,76.12,-0.05
HDFC NIFTY Midcap 150 Index Fund,Index Fund,,,,,Growth,246.47,0.3,0,0,Allowed,100,100,-0.32,12.73,38.18,0,0,0,0,52.91,43.65,0.07,17.4,17.51,8.61,99.95,0,11.43,79.98,8.55,9.94,0.05
UTI Nifty Midcap 150 Quality 50 Index Fund,Index Fund,,,,,Growth,245.67,0.43,0,0,Allowed,1000,0,0.35,16.27,31.61,0,0,0,0,51.87,43.65,0.06,14.57,17.51,15.68,100.07,0,9.52,71.76,18.78,17.47,-0.07
Aditya Birla SL Nifty Smallcap 50 Index Fund,Index Fund,,,,,Growth,243.46,0.46,0,0.25,Allowed,100,500,3.93,17.28,43.94,24.73,17.87,0,0,46.13,43.65,0.44,21.1,17.51,36.72,99.93,0,0,25.39,74.53,19.19,0.07
Groww Nifty Total Market Index Fund,Index Fund,,,,,Growth,241.12,0.3,0,0.25,Allowed,100,0,-0.01,10.27,31.85,0,0,0,0,44.87,43.65,0.15,14.83,17.51,8.18,100.33,0,69.06,17.62,13.56,21.3,-0.33
HDFC NIFTY 100 Index Fund,Index Fund,,,,,Growth,234.72,0.3,0,0,Allowed,100,100,-0.49,8.52,29.14,0,0,0,0,41.1,43.65,0.06,14.3,17.51,14.91,99.9,0,96.61,3.29,0,31.64,0.1
Axis Nifty 500 Index Fund,Index Fund,,,,,Growth,234.06,0.1,0,0.25,Allowed,100,0,-0.13,0,0,0,0,0,0,44.9,43.65,0.3,13.56,17.51,8.13,99.84,0,71.39,18.2,10.15,22.01,0.16
SBI BSE Sensex Index Fund,Index Fund,,,,,Growth,226.27,0.19,0,0.2,Allowed,5000,500,0.97,9.11,23.47,0,0,0,0,30.3,43.65,0.03,13.54,17.51,8.11,99.95,0,99.19,0.76,0,45.95,0.05
Edelweiss NIFTY Large Mid Cap 250 Index Fund,Index Fund,,,,,Growth,214.13,0.23,0,0,Allowed,100,100,-0.36,10.82,33.94,0,0,0,0,48.31,43.65,0.07,15.33,17.51,18.2,100.07,0,53.58,42.05,4.44,15.25,-0.07
Navi Nifty Midcap 150 Index Fund,Index Fund,,,,,Growth,209.05,0.21,0,0,Allowed,10,10,-0.25,12.85,38.4,0,0,0,0,54.74,43.65,0.23,17.4,17.51,18.35,99.91,0,10.96,80.13,8.82,9.54,0.09
UTI BSE Sensex Index Fund,Index Fund,,,,,Growth,186.64,0.21,0,0,Allowed,1000,0,0.96,9.11,23.46,0,0,0,0,30.3,43.65,0.04,13.59,17.51,14.65,99.88,0,99.12,0.76,0,45.92,0.12
HDFC BSE 500 Index Fund,Index Fund,,,,,Growth,185.64,0.3,0,0,Allowed,100,100,-0.39,9.45,30.99,0,0,0,0,43.92,43.65,0.2,14.66,17.51,8.17,100.05,0,72.23,17.51,10.31,22.9,-0.05
Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF FoF,Index Fund,,,,,Growth,184.28,0.08,0,0.05,Allowed,5000,0,-0.59,0,0,0,0,0,0,0,43.65,6.66,22.18,17.51,8.64,0,0,0,0,0,100,-0.81
DSP Nifty Smallcap250 Quality 50 Index Fund,Index Fund,,,,,Growth,180.58,0.31,0,0,Allowed,100,0,3.51,20.4,0,0,0,0,0,41.72,43.65,0.45,20.95,17.51,12.12,98.72,0,0,23.75,74.97,18.72,1.28
Tata Nifty200 Alpha 30 Index Fund,Index Fund,,,,,Growth,174.28,0.34,0,0.25,Allowed,5000,0,0,0,0,0,0,0,0,49.11,43.65,0.31,21.82,17.51,11.09,100.19,0,67.37,32.82,0,25.22,-0.19
ICICI Pru Nifty LargeMidcap 250 Index Fund,Index Fund,,,,,Growth,169.76,0.25,0,0,Allowed,100,0,-0.39,10.69,0,0,0,0,0,47.01,43.65,0.2,16.3,17.51,8.15,99.93,0,53.7,41.92,4.31,15.7,0.07
Aditya Birla SL Nifty Next 50 Index Fund,Index Fund,,,,,Growth,159.62,0.33,0,0,Allowed,100,100,-2.88,7.84,52.26,0,0,0,0,60.77,43.65,0.12,19.94,17.51,19.19,99.99,0,86.46,13.53,0,20.32,0.01
Edelweiss MSCI India Domestic & World Healthcare 45 Index Fund,Index Fund,,,,,Growth,156.68,0.5,0,0,Allowed,100,100,3.91,17.64,40.28,16.2,17.5,0,0,54.65,43.65,0,10.75,17.51,16.31,99.92,0,52.92,13.77,5.42,37.72,0.08
Bandhan Nifty 100 Index Fund,Index Fund,,,,,Growth,148.13,0.09,0,0,Allowed,1000,100,-0.44,8.68,29.46,0,0,0,0,41.1,43.65,0.05,14.25,17.51,14.99,100,0,96.71,3.3,0,31.68,0
Nippon India Nifty IT Index Fund,Index Fund,,,,,Growth,144.73,0.25,0,0,Allowed,1000,0,9.88,27.7,0,0,0,0,0,35.13,43.65,0.13,19,17.51,14.56,99.3,0,83.67,15.63,0,78.3,0.7
Bandhan Nifty200 Momentum 30 Index Fund,Index Fund,,,,,Growth,141.23,0.41,0,0,Allowed,1000,0,-2.2,5.56,46.84,0,0,0,0,46.53,43.65,0.39,21.68,17.51,13.35,99.96,0,86.79,13.18,0,28.26,0.04
UTI Nifty Private Bank Index Fund,Index Fund,,,,,Growth,138.94,0.44,0,0,Allowed,1000,1500,0,0,0,0,0,0,0,16.14,43.65,1.43,17.22,17.51,8.23,100.18,0,82.95,13.98,3.25,88.93,-0.18
Axis NIFTY IT Index Fund,Index Fund,,,,,Growth,134.77,0.3,0,0.25,Allowed,100,100,9.88,27.71,38.01,0,0,0,0,35.88,43.65,0.11,20.02,17.51,15.29,99.61,0,84.57,15.03,0,78.9,0.39
Edelweiss Nifty500 Multicap Momentum Quality 50 Index Fund,Index Fund,,,,,Growth,132.28,0,0,0.1,Allowed,100,100,0,0,0,0,0,0,0,0,43.65,0,27.88,17.51,1.55,98.64,0,53.85,35.47,9.32,119.88,1.36
HSBC Nifty Next 50 Index Fund,Index Fund,,,,,Growth,130.33,0.35,0,1,Allowed,5000,500,-2.86,7.76,52.07,23.04,17.18,0,0,60.77,43.65,0.1,19.96,17.51,20.3,99.96,0,86.43,13.53,0,20.31,0.04
ICICI Pru Nifty Auto Index Fund,Index Fund,,,,,Growth,130.18,0.42,0,0,Allowed,1000,1000,-4.5,6.45,46.85,0,0,0,0,30.01,43.65,0.14,18.24,17.51,14.84,99.91,0,80.29,18.09,1.53,67.59,0.09
Nippon India Nifty Bank Index Fund,Index Fund,,,,,Growth,128.4,0.2,0,0,Allowed,1000,100,2.94,8.11,0,0,0,0,0,16.18,43.65,0.18,17.9,17.51,7.86,99.7,0,85.69,14.01,0,81.12,0.3
Axis Nifty Bank Index Fund,Index Fund,,,,,Growth,123.26,0.09,0,0.25,Allowed,500,100,3.02,0,0,0,0,0,0,16.52,43.65,0.14,20.24,17.51,8.02,99.91,0,84.74,15.16,0,80.12,0.09
Edelweiss Nifty 100 Quality 30 Index Fund,Index Fund,,,,,Growth,122.18,0.3,0,0,Allowed,100,0,-1.27,10.6,30.86,20.65,14.25,0,0,52.28,43.65,0.12,12.48,17.51,18.12,100.23,0,85.95,14.28,0,26.44,-0.23
Tata Nifty MidSmall Healthcare Index Fund,Index Fund,,,,,Growth,121.21,0.34,0,0.25,Allowed,5000,150,9.01,26.06,0,0,0,0,0,59.98,43.65,0.24,14.72,17.51,5.14,100.06,0,27.37,44.77,27.92,41.04,-0.06
Tata Nifty500 Multicap India Manufacturing 50:30:20 Index Fund,Index Fund,,,,,Growth,121.16,0.34,0,0.25,Allowed,5000,150,-0.33,11.5,0,0,0,0,0,42.23,43.65,0.33,18.53,17.51,9.07,100.03,0,52.59,30.55,16.88,27.53,-0.03
HDFC NIFTY Realty Index Fund,Index Fund,,,,,Growth,110.44,0.4,0,0,Allowed,100,100,-3.9,0.71,0,0,0,0,0,58.24,43.65,0.26,28.66,17.51,15.81,100,0,37.51,48.93,13.57,76.36,0
Edelweiss Nifty 50 Index Fund,Index Fund,,,,,Growth,109.94,0.05,0,0,Allowed,100,100,0.35,8.98,25.11,16.48,11.04,0,0,35.83,43.65,0.14,13.6,17.51,16.6,100.08,0,98.61,1.47,0,37.73,-0.08
Kotak Nifty Smallcap 50 Index Fund,Index Fund,,,,,Growth,107.81,0.25,0,0,Allowed,100,100,3.88,17.16,43.53,0,0,0,0,46.13,43.65,0.45,21.12,17.51,13.84,100.1,0,0,25.44,74.66,19.22,-0.1
Motilal Oswal BSE Low Volatility Index Fund,Index Fund,,,,,Growth,100.37,0.43,0,1,Allowed,500,1500,-2.52,5.48,27.36,0,0,0,0,48.22,43.65,0.1,11.27,17.51,9.74,100.02,0,74.99,19.09,5.94,19.12,-0.02
Edelweiss Nifty Alpha Low Volatility 30 Index Fund,Index Fund,,,,,Growth,98.26,0.3,0,0.1,Allowed,100,100,-3.51,0,0,0,0,0,0,47.66,43.65,0.1,15.3,17.51,10.7,100.11,0,90.78,9.33,0,23.24,-0.11
Tata Nifty Capital Markets Index Fund,Index Fund,,,,,Growth,91.54,0,0,0.25,Allowed,5000,0,0,0,0,0,0,0,0,60.03,43.65,0,21.01,17.51,1.12,100.06,0,0,69.96,30.1,63.22,-0.06
Tata Nifty Capital Markets Index Fund(IDCW Payout),Index Fund,,,,,Growth,91.54,0,0,0,Allowed,5000,0,0,0,0,0,0,0,0,60.03,43.65,0,21.01,17.51,1.12,100.06,0,0,69.96,30.1,63.22,-0.06
ICICI Pru Nifty50 Equal Weight Index Fund,Index Fund,,,,,Growth,91.46,0.4,0,0,Allowed,5000,1000,-0.84,8.99,30.14,0,0,0,0,39.27,43.65,0.13,14.02,17.51,10.14,99.92,0,96.56,3.36,0,11,0.08
Edelweiss Nifty Smallcap 250 Index Fund,Index Fund,,,,,Growth,91.14,0.14,0,0,Allowed,100,0,2.37,14.56,41.09,0,0,0,0,49.29,43.65,0.24,19.84,17.51,13.61,100.12,0,0,13.05,86.16,6.68,-0.12
