Date,Prob_Up,Prob_Down,Prediction,Actual
2006-09-13,0.8013900739306867,0.19860992606931327,Up,Up
2006-09-14,0.7923840801237054,0.20761591987629463,Up,Up
2006-09-15,0.7889203410437449,0.21107965895625508,Up,Up
2006-09-18,0.7816681788880064,0.2183318211119935,Up,Up
2006-09-19,0.8000533406625934,0.19994665933740668,Up,Up
2006-09-20,0.7757744088044689,0.2242255911955311,Up,Up
2006-09-21,0.7481716530247029,0.25182834697529705,Up,Up
2006-09-22,0.7518495656924217,0.24815043430757833,Up,Up
2006-09-25,0.7619781855492727,0.2380218144507274,Up,Up
2006-09-26,0.7030912113762483,0.2969087886237517,Up,Up
2006-09-28,0.7021525109839991,0.2978474890160009,Up,Up
2006-10-03,0.7021684302176181,0.2978315697823819,Up,Up
2006-10-04,0.7319284338899132,0.2680715661100867,Up,Up
2006-10-05,0.7046469613043831,0.29535303869561685,Up,Up
2006-10-06,0.7020258648108814,0.29797413518911864,Up,Up
2006-10-09,0.702076870454005,0.29792312954599504,Up,Up
2006-10-10,0.7013275352483743,0.29867246475162573,Up,Up
2006-10-11,0.7150265974820719,0.28497340251792813,Up,Up
2006-10-23,0.7028951801316525,0.29710481986834747,Up,Up
2006-10-26,0.7011750030073738,0.2988249969926262,Up,Up
2006-10-30,0.7283461448893795,0.2716538551106205,Up,Up
2006-10-31,0.7381951187352451,0.26180488126475493,Up,Up
2006-11-01,0.7581463090596148,0.24185369094038517,Up,Up
2006-11-02,0.7460167284726382,0.2539832715273618,Up,Up
2006-11-03,0.7379990250793609,0.26200097492063906,Up,Up
2006-11-06,0.7356652367191974,0.2643347632808026,Up,Up
2006-11-07,0.7398854487861558,0.2601145512138442,Up,Up
2006-11-08,0.7507491403932477,0.2492508596067523,Up,Up
2006-11-09,0.7408547520530933,0.2591452479469068,Up,Up
2006-11-10,0.7205729797163061,0.2794270202836939,Up,Up
2006-11-13,0.7083394500243452,0.2916605499756548,Up,Up
2006-11-14,0.7047474526317163,0.2952525473682837,Up,Up
2006-11-17,0.708693625145366,0.29130637485463395,Up,Up
2006-11-20,0.7057203361013364,0.2942796638986636,Up,Up
2006-12-11,0.7041770642933032,0.2958229357066969,Up,Up
2006-12-12,0.7712686026620881,0.22873139733791198,Up,Up
2006-12-13,0.7469077553333474,0.25309224466665264,Up,Up
2006-12-14,0.7073949581318377,0.29260504186816233,Up,Up
2006-12-19,0.7110164048530354,0.28898359514696453,Up,Up
2006-12-20,0.718759198436859,0.281240801563141,Up,Up
2006-12-21,0.7104023685367249,0.28959763146327516,Up,Up
2007-01-31,0.7659671048404024,0.23403289515959752,Up,Up
2007-02-01,0.7566879260706232,0.24331207392937682,Up,Up
2007-02-02,0.7407853698437523,0.25921463015624774,Up,Up
2007-02-05,0.7261086822729061,0.2738913177270938,Up,Up
2007-02-06,0.7341340453361088,0.2658659546638912,Up,Up
2007-02-07,0.7210607468518855,0.2789392531481145,Up,Up
2007-02-08,0.7221236844407056,0.2778763155592944,Up,Up
2007-02-09,0.73825791480609,0.26174208519390996,Up,Up
2007-02-12,0.7962275117959671,0.20377248820403293,Up,Up
2007-02-13,0.8022438286765192,0.19775617132348078,Up,Up
2007-02-14,0.7999263956225671,0.20007360437743293,Up,Up
2007-02-15,0.7558531596213043,0.24414684037869566,Up,Up
2007-02-19,0.7478949026163879,0.25210509738361214,Up,Down
2007-02-20,0.7731478952452548,0.2268521047547452,Up,Up
2007-02-21,0.7767851453766814,0.22321485462331864,Up,Up
