Date,Action,Qty,Price,Total
2013-02-15,BUY,0.2662580370906619,5887.4,1567.567567567563
2013-02-18,BUY,0.21078350060073334,5898.2,1243.2432432432454
2013-02-21,BUY,0.16625622161954315,5852.25,972.9729729729713
2013-02-22,BUY,0.20326977918896177,5850.3,1189.189189189183
2013-02-25,BUY,0.19388276786116226,5854.75,1135.1351351351398
2013-02-26,BUY,0.46910927173365663,5761.35,2702.702702702703
2013-02-27,BUY,0.48488171450444356,5796.9,2810.8108108108086
2013-02-28,BUY,0.7975585214499328,5693.05,4540.54054054054
2013-03-01,BUY,0.7182383880462466,5719.7,4108.1081081081165
2013-03-04,BUY,0.7873100792290036,5698.5,4486.486486486478
2013-03-05,BUY,0.5233223022910525,5784.25,3027.0270270270203
2013-03-06,BUY,0.41804427739188615,5818.6,2432.432432432429
2013-03-07,BUY,0.2857905404253012,5863.3,1675.6756756756686
2013-03-08,BUY,0.04910886695351195,5945.7,291.986590245496
2013-03-11,BUY,0.09654720015095875,5942.35,573.7172548170497
2013-03-12,BUY,0.17393942973152143,5914.1,1028.695181375191
2013-03-13,BUY,0.3516185334205635,5851.2,2057.390362750401
2013-03-14,BUY,0.1924163996442416,5908.95,1136.9788846778413
2013-03-15,BUY,0.2932086871117445,5872.6,1721.8973359324311
2013-03-18,BUY,0.39171863912062266,5835.25,2285.7761889286135
2013-03-19,BUY,0.6563111999585464,5745.95,3771.1313394018093
2013-03-20,BUY,0.8090485512891075,5694.4,4607.046070460693
2013-03-21,BUY,0.9140558945179537,5658.75,5172.41379310347
2013-03-22,BUY,0.9308047966655024,5651.35,5260.303687635587
2013-03-25,BUY,0.9914504818516731,5633.85,5585.683297180049
2013-03-26,BUY,0.9612509735549859,5641.6,5422.993492407809
2013-03-28,BUY,0.8302618258343171,5682.55,4718.004338394799
2013-04-01,BUY,0.8787036226028951,5704.4,5012.4769447759545
2013-04-02,BUY,0.7457228335319229,5748.1,4286.489419424846
2013-04-03,BUY,0.9755953204594856,5672.9,5534.454693434615
2013-04-04,BUY,1.2847635294176907,5574.75,7162.235485621271
2013-04-05,BUY,1.3581328057980748,5553.25,7542.0510037981585
2013-04-08,BUY,1.3900231975783313,5542.95,7704.829083016811
2013-04-09,BUY,1.550239209315599,5495.1,8518.719479110148
2013-04-10,BUY,1.3372789113136254,5558.7,7433.53228431905
2013-04-11,BUY,1.2221450352491827,5594.0,6836.679327183928
2013-04-12,BUY,1.4427156997249893,5528.55,7976.125881714589
2013-04-15,BUY,1.3154610956181207,5568.4,7325.013564839943
2013-04-16,BUY,0.934692211124443,5688.95,5317.4172544764
2013-04-17,BUY,1.0682666146624316,5688.7,6077.048290830174
2013-04-18,BUY,0.7751545103942714,5783.1,4482.796049061111
2013-04-22,BUY,0.6141268835271518,5834.4,3583.0618892508146
2013-04-23,BUY,0.6138638471193296,5836.9,3583.0618892508146
2013-04-25,BUY,0.3853980178759729,5916.3,2280.1302931596183
2013-04-26,BUY,0.6379903326711837,5871.45,3745.9283387622213
2013-04-29,BUY,0.584935668333735,5904.1,3453.518679409205
2013-04-30,BUY,0.5129380282380067,5930.2,3041.8250950570273
2013-05-02,BUY,0.3259451423370063,5999.35,1955.4589896795187
2013-05-03,BUY,0.4734175497457662,5944.0,2813.9939156888345
2013-05-06,BUY,0.3931588106287457,5971.05,2347.570916204772
2013-05-07,BUY,0.1888466791581227,6043.55,1141.3043478260724
2013-05-08,BUY,0.17909092016198352,6069.3,1086.9565217391266
2013-05-09,BUY,0.25519726505522583,6050.15,1543.9817331738743
2013-05-10,BUY,0.15167405441989387,6094.75,924.4154431756482
